NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
DLAP_PGAE-APND,7.396849479166666,13.384475739510297,-0.27198999999999995,24.9493,96
DLAP_SCE-APND,-5.940808229166667,11.317917852496402,-19.136935,0.14787499999999998,96
DLAP_SDGE-APND,-5.4184403125,11.034583523603983,-17.760345,0.777755,96
DLAP_VEA-APND,6.0378309375,57.63537368719202,-28.287505,0.19105,96
DMDVLY_1_UNITS-APND,-9.097450520833332,26.191068728411995,-11.519335,0.0,96
DREWS_6_PL1X4-APND,-4.233834270833333,9.388903318821331,-11.65864,0.0,96
DRUM_7_PL1X2-APND,26.80804177083333,56.012656232475926,0.0,56.130030000000005,96
DRUM_7_PL3X4-APND,26.80804177083333,56.0126562324759,0.0,56.130030000000005,96
DRYE_6_WIND-APND,0.0,0.0,0.0,0.0,96
DRYW_6_WIND-APND,0.0,0.0,0.0,0.0,96
DSN_7_FHS_BESS-APND,0.0,0.0,0.0,0.0,96
DSRTSL_2_SOLAR1-APND,-4.391492604166666,9.84133157127025,-10.008379999999999,0.0,96
DSRTSN_2_DS2BX2-APND,-1.9654905555555555,3.303929501857988,-6.729223999999999,0.0,72
DSRTSN_2_DS2X2-APND,-6.803526875,18.202415831986606,-10.797754999999999,0.0,96
DSRTSN_2_SOLAR1-APND,-7.3169621875,18.51386103803715,-19.47312,0.0,96
DSRTSN_2_SOLAR2-APND,-7.3169621875,18.51386103803715,-19.47312,0.0,96
DUANE_1_PL1X3-APND,9.523512916666666,16.90270838727102,0.0,32.097229999999996,96
DVLCYN_1_UNITS-APND,-4.233834270833333,9.38890331882133,-11.65864,0.0,96
DWR_5_DWORSHAK_PLANT-APND,0.0,0.0,0.0,0.0,96
ELAND1_2_HYBRID-APND,0.0,0.0,0.0,0.0,48
ELAP_AVA-APND,0.0,0.0,0.0,0.0,96
ELAP_AVRN-APND,0.0,0.0,0.0,0.0,96
ELAP_AZPS-APND,0.0,0.0,0.0,0.0,96
ELAP_BANC-APND,0.0,0.0,0.0,0.0,96
ELAP_BCHA-APND,0.0,0.0,0.0,0.0,96
ELAP_BPAT-APND,0.0,0.0,0.0,0.0,96
ELAP_EPE-APND,0.0,0.0,0.0,0.0,96
ELAP_IPCO-APND,0.0,0.0,0.0,0.0,96
ELAP_LADWP-APND,0.0,0.0,0.0,0.0,96
ELAP_NEVP-APND,0.0,0.0,0.0,0.0,96
ELAP_NWMT-APND,0.0,0.0,0.0,0.0,96
ELAP_PGE-APND,0.0,0.0,0.0,0.0,96
ELAP_PNM-APND,0.0,0.0,0.0,0.0,96
ELAP_PSEI-APND,0.0,0.0,0.0,0.0,96
ELAP_SCL-APND,0.0,0.0,0.0,0.0,96
ELAP_SRP-APND,0.0,0.0,0.0,0.0,96
ELAP_TEPC-APND,0.0,0.0,0.0,0.0,96
ELAP_TIDC-APND,0.0,0.0,0.0,0.0,96
ELAP_TPWR-APND,0.0,0.0,0.0,0.0,96
ELAP_WALC-APND,0.0,0.0,0.0,0.0,96
ELECTR_7_PL1X3-APND,8.233645416666667,16.557579266712484,0.0,23.397365,96
ELKHIL_2_PL1X3-APND,-5.9522047916666665,10.34177739881323,-16.597575,0.0,96
ELKHRN_1_EESX3-APND,9.786296875,16.841721133928605,0.0,38.467925,96
ELSEGN_2_UN1011-APND,-3.77423625,12.444164125717153,-14.90899,0.0,96
ELSEGN_2_UN2021-APND,-3.77423625,12.444164125717153,-14.90899,0.0,96
EPE_AFTON345_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_AIRPORT115_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_AMRAD115_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_GREENLEE_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_HIDALGO345_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_LASCRCS115_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_LUNA345_EPE-APND,0.0,0.0,0.0,0.0,96
EPE_MACHOSPRNG345-APND,0.0,0.0,0.0,0.0,96
